,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53
MACCS_27,0.03019426307596424,-0.002178818148517338,-0.01188511069588749,0.049697377660499725,-0.02348620560024478,-0.0397920763977492,-0.05830509730726999,-0.02773787659824644,0.1541228006922821,0.061353860984070516,0.048809590947522005,-0.01814070919190762,0.026128587240588946,-0.11396230510040871,0.17731855792223042,0.06076273502152181,0.1271917780732742,-0.03257406200064935,-0.01783940461750788,0.09994807494023163,0.14412935718452213,-0.034730075269643675,0.08233637130551841,-0.19306446273064592,-0.0024103060711779256,0.33453783466662523,0.19826593628633124,-0.09901750893002984,-0.13744548070038423,0.39951169196977815,-0.029029785468735685,0.12682088662990787,0.03307014546208405,-0.0428608889925412,-0.0006406597516719348,-0.014224052117509909,0.2318999866839493,-0.19452321449927704,-0.12727641636638232,0.192737117071546,0.10944054131291472,0.11576570482861043,-0.0029301428473923613,0.0074203057798064714,-0.12076723701713826,0.07720088504014427,-0.04213099688985937,0.1223484737580186,0.13391636763231185,0.0869779840748365,0.008382405802815946,0.11299307052775576,-0.12540750488497684
MACCS_28,-0.015241106241627772,0.04367525235091787,0.005858653057956131,0.0009635572764456202,0.043063555175261475,-0.10380867724240667,-0.03318255810355371,-0.08313872065653198,0.00723719659299632,-0.042650637113479925,-0.06266301901776052,0.05568042502002602,0.07259803744054563,0.07529926430240799,-0.10630053058088093,0.20656433734260887,0.09758770168502001,0.22627065649573253,0.05756172449217904,0.05091017671901829,0.11976235572225849,0.10537736667228043,-0.011550858703266262,0.13335012324490325,-0.1154039427578195,0.16287688989012536,-0.304069400694228,-0.3160526918793058,-0.051064964704424,-0.03231329400600055,-0.03344557558229663,-0.1390663180307769,0.20619393870440808,-0.020324746720230526,-0.2361206604935719,-0.09132757718247472,0.0346853437150875,0.0636553006704321,0.11389653921129024,0.041689206280188296,-0.26157372438442394,0.015532458049791004,-0.08909989014000419,-0.046277032223195735,-0.01128546196143873,0.1158966584936773,0.029010197919544883,-0.12165427853157001,0.05169041480248498,0.014587313232014136,0.015844606408437243,0.14120919080101987,0.056795624044757693
MACCS_29,0.019760646417054013,0.019917954987756024,0.12474835272864264,0.09157949787759981,0.04459325947635977,-0.08493500156108058,0.008772941336273932,-0.19054773485347548,0.06779819666603515,-0.08459018796914913,0.15827843333524605,-0.014544911454687282,-0.08972314463315212,0.09954585529226107,-0.24050400042583425,-0.027560379477606645,-0.09758894819861721,-0.09953799589829374,-0.09787124406433381,0.02086478437169007,-0.09737637075107476,0.04338303258554052,-0.09905323045463235,-0.02754119526957448,-0.07702642870395007,-0.031701522395266205,0.034373506651101005,-0.09803897466317071,0.006227753328618663,0.1527245647098604,-0.19108646722064693,0.04149003041555677,-0.05257383978025729,-0.14235680172305015,-0.11318603027286779,-0.05992804878600931,0.04154196270601257,0.030929313999178344,0.05444473671075299,-0.09263496406342536,-0.05713907275121611,0.03395884614972694,0.02776137681987538,-0.08010680861513332,-0.03649909560169623,-0.07670860228276158,-0.03963929000129672,0.01640348146931317,-0.09148452575399078,0.13857760984010858,-0.027838894388982984,0.05074008340062478,-0.014728628446781848
MACCS_30,0.05430127487306332,0.06020467944633087,-0.025684099767355785,0.13708386577779225,0.0405901001679194,0.013613374823076452,0.08123735864160453,0.16810699352234204,-0.1237770722448438,0.11914826922524283,-0.07361077854952948,-0.1818680277138615,-0.02407070392410665,-0.0721241652070971,-0.17623571263370127,0.1358184905823639,-0.04439045871600565,-0.09344647934928019,0.07575774667612156,0.045690062433594386,-0.02951270361784089,-0.14216016312227148,-0.0538685408339588,-0.09393187389079613,-0.03254067550230231,0.10326202930895863,-0.02809415913740328,-0.11205034173270287,0.0674517033824456,-0.03709486703607434,0.12727888709684448,-0.050168827559644344,-0.010884531137171234,-0.08913160875463101,0.15084796103723153,-0.020246097574489533,-0.0283370903982203,-0.06007498590607495,-0.17559506177843806,0.03503858786780181,-0.11525859944176067,-0.0513776254546834,0.028669928258853998,0.03634371961379712,0.06717699696220591,-0.008741972032435243,-0.037463746640185105,-0.04429874486716032,-0.1261313498400176,0.07157720398763023,-0.053565636804579445,-0.010357405093325146,-0.04326866860926112
MACCS_32,-0.07662105564207573,0.11132258676452585,0.13133052647654392,-0.02557819454639563,0.021771372824736297,0.04843368607819645,-0.08468064559497895,-0.04933277601521176,-0.07491375979099618,0.14285023054056536,-0.11361955542794688,-0.039247941267313735,0.014571888557056212,-0.02379170811518322,0.1911436229734188,-0.09667075134200315,-0.17372071679958712,-0.1361908970707587,0.04091330728509819,-0.09670621978379153,0.083940257966878,0.08379296968718436,-0.05583319517812942,-0.08506415483171093,-0.030687083531526438,0.043573388118384654,-0.08002620383404861,0.03481793252632821,-0.1170978851697888,-0.08972796111176437,-0.08442314850180051,-0.029610438882481965,0.05889065310133082,0.11302469930627965,0.05480230975115724,-0.07750245727500174,0.03773106424718024,-0.13118319180419402,0.06067417874829248,-0.08290615730696321,-0.0409781453075231,0.0089595657141006,0.041847559621815834,-0.012283833840315329,0.009090888977514783,0.15826599919756076,0.071275955654347,0.1415113973504369,0.015354842406006606,-0.05627246941352938,0.06452906545721643,-0.12237922746518716,-0.03671370034309111
MACCS_36,-0.05054950327379361,0.020215016323883235,0.06775134857575368,-0.09615054902644252,0.0331152418323663,-0.135590413922784,0.10087857921561419,-0.0455860184739863,0.14022853129464075,0.1683612550179021,-0.2494726053292829,0.0020443068332789277,-0.15884568826295636,0.12203103587958705,-0.023500080504682275,0.021043433474951703,-0.05274297411705069,0.00721445293385592,0.14499840173040696,-0.01430642850440332,0.08008357670447919,0.07039932344084927,-9.100588042754154e-05,-0.05689679260061442,-0.004902892113437862,0.04428094369574062,-0.027674954385184206,0.08096709367468397,-0.06805124588664496,0.041919120768265525,-0.05508898426758593,-0.04829495334214251,-0.056980696314215984,0.1316619442471067,-0.03598472394650823,-0.056548755810257145,0.03496440466406815,-0.004814346037683213,-0.05459819881513478,-0.06196764756658689,-0.045924407094961976,0.053077482124498726,-0.006240916856449653,-0.0031083478274636644,0.1260296331963179,0.008466113975220027,0.11943827135698015,-0.06697129531717401,0.035767805431148186,-0.036656009152113374,0.12227957876362491,-0.191112697257422,-0.1048094695987227
MACCS_37,-0.06866465480140438,-0.03384505323039032,-0.04114056639316621,-0.007062739218487586,-0.1518281490063671,-0.0971361279858434,0.06102277651856816,0.07994404188315352,-0.06146961581972777,0.006486600561212474,0.2036585419666502,0.04326605110515516,0.09145134888199546,0.12537182800165853,0.0418492712250592,0.009845278783467276,-0.15958817848796933,0.01473593775733308,0.07951288473102307,-0.033822343417488646,-0.08121734147220117,-0.004666440244070813,0.2160261062035516,-0.12376583719314457,-0.12433224781927532,0.08475836653183565,-0.17400338274785426,0.008222943060691087,0.1632298060168471,0.011876430428169521,0.06778452468696956,0.1610441435285251,-0.04139964175656868,0.11060848061881208,0.004045785610460772,0.007014401734002551,0.2195889235994138,0.0985136085561032,-0.14653284071375736,-0.13735486554448562,0.04794978403804672,0.03983611386343339,0.05212486357868271,0.03245604064940852,0.12259031168138135,-0.10313184538413785,-0.01957072941418935,-0.009755647058552995,-0.01782183925072285,-0.03883309061972634,-0.09757574895932632,0.005500946374901786,0.0820865976002423
MACCS_38,-0.07444453590213118,0.11139187539195687,0.0021471625202568296,-0.07662810166827698,0.008283640544474623,0.011289498026186746,0.06907533638818254,0.05011718924368869,-0.07395103954743702,-0.09350179401614253,0.10501206781656597,-0.018717416039396056,-0.011317902744503259,-0.0019084609277521397,0.25486135657265396,0.040421533649417675,-0.04663246395680973,-0.01724609080991621,-0.1870850511701861,0.030592897087982462,-0.14036825309845094,-0.1925310158109075,-0.04385314690697608,-0.0440739314729052,0.07769020952503049,0.04041791825273568,0.04709689340538553,-0.0351090973849522,0.05014447100534075,-0.05958339783838898,-0.2199125563331898,-0.0007901026085550822,0.06744591150284789,-0.08735714165060174,-0.13563145084868447,-0.0685249390868628,-0.08266818019921214,-0.0015359635358056824,-0.1637714235759789,0.02380712400835762,-0.15373933236747195,0.16604664590710644,-0.20007859552977367,-0.11276201351661869,0.09681479923748212,-0.16218310147491521,0.20013997160673502,-0.08400753729491826,-0.06245852133739449,-0.1279415798302144,0.13790428900893895,0.019450013295663204,-0.05337331760840564
MACCS_39,-0.0017558764271225584,0.07277323183004228,0.03555485169898105,0.022736737298382888,-0.002435517075640938,-0.05063084187676106,-0.07869962952476117,-0.08794116139379893,-0.06115456082620102,-0.04709971150323439,0.009929491793307321,0.15385127748776006,0.1447386947524485,0.06616021610544501,-0.13395197391914404,0.17981320606510864,0.16867671641022258,0.1565107299350383,0.005935903422060296,-0.1726020488358661,0.1898722163704064,-0.14518089574659082,0.0010842716978232136,-0.04400764338779205,0.16781628182390532,0.1396643459370097,-0.016870695070759712,0.19071492220692193,0.1106133850509668,-0.0688755603289884,0.11548163381044936,-0.22526357121584814,0.025537503817578973,0.13644174021059363,0.1714668977773385,0.05318733226221954,-0.06143868716109008,0.03219374499612289,-0.13009761836755968,0.06449071036083218,0.14309612360204582,0.01774127047458817,-0.16256863999952978,-0.13962070978069174,-0.0028551344426524378,-0.04493844623515353,-0.050125070385836176,-0.06321352666852499,0.05759627381549613,-0.023927534615668877,-0.04073261258069636,-0.0907064883265735,0.014322051834288564
MACCS_41,-0.01161807902753033,-0.004143935866999497,0.0016510300860739014,-0.031415398703766334,0.06084633864161935,0.022046160139423936,-0.06914467949885322,-0.018453446215398475,-0.04545788181781196,0.06325843660958747,0.030466809168413822,0.0768913588287415,-0.14323542550968293,0.030360714771186827,0.048768950478585316,0.048648578250026206,0.0806715930315865,0.1719926841073701,-0.011506967766180598,0.4457866473395806,-0.263517047874276,0.005257308280330386,-0.1435801024986006,0.00902852715473395,0.08177757018906202,0.06897888391806661,-0.26591798498171293,0.13135624027519174,0.11875877636889462,0.08546204742004454,0.22029843047967096,0.0022436513637281857,0.09149289656031528,-0.06720137805628153,0.027154624201844797,-0.08435357435603619,-0.05357120692077018,-0.14511579077401038,0.07749505116664782,-0.02834811470354004,0.08270351022844144,0.04183523156976471,-0.022318958633313308,-0.12134940674852346,0.0237041945244207,0.10122516124578233,0.06057746578194216,-0.023152825990155362,0.006172391162794961,-0.11486802224529193,0.03804771003681712,0.042809126195781644,-0.07998446483649256
