,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
BCUT2D_MRHI,-0.07948405952592726,0.1899206501597114,-0.017716347645947074,0.08207164882028939,-0.12342050812917518,-0.028124051824601926,0.06587210299188678,0.038126977828448524,-0.09116149886436772,-0.02634642526449818,-0.012469704920995694,-0.010995591127224091,-0.05999795708435146,-0.03658406446559674,0.002531400376638439,-0.05418131248097748,-0.029468820490404765,-0.07195149263562046,0.06433305884663512,0.13665620287068647,-0.05427266247045069,0.012815561361048583,0.07542682009020361,-0.01804378487473382,-0.0008175718375608224,0.05173048118895637,-0.041934062388292455,0.05461066347314722,0.13248121200584373,0.05541010844065922,-0.07950269242567257,-0.04037210480598868,-0.08787532420086341,-0.05220454906213495,0.007173314499159925,0.019634579698261267,-0.11608369096990354,-0.045513057658483444,0.05669283145209504,0.07364822415191698,-0.01664419425711607,0.05883423414187064,0.13762172769683642,0.11177482401734916,0.024055728218322175
BCUT2D_MRLOW,-0.08574793131895594,0.1539934639609047,-0.02787567575651438,-0.004077661740591598,-0.11953079232148167,-0.08327914856303639,0.10036250857037793,-0.012961346982586365,-0.10436784380945618,-0.06643365811984837,-0.06884177182129862,0.06327965451464819,-0.05117812096330464,0.05640050746506681,0.03421921920523542,0.010250862413010223,0.003835566771104748,-0.04789384256603539,0.02474082087625538,-0.01276516396948553,0.008429739950662367,-0.034047994662581946,-0.032296122734695634,0.09079890578315414,-0.11322293902492461,0.11349763024401327,0.07646963088670823,0.02764465069843186,0.1699905803802584,0.08230536648033296,0.06311013536798275,-0.055928865320403386,-0.09481759385803223,-0.016536244968042037,-0.019826428052294738,0.12159688387295434,-0.03791434397282881,-0.026000854612848408,-0.03773707882350943,0.06844203079875345,-0.03029952619715873,-0.01004545087469988,0.08570199480733534,-0.09141539289378836,0.013683182665128649
BalabanJ,-0.022278653986900668,-0.20645220497042804,0.06441686533902966,0.06303374164467129,0.09485575056731743,-0.04463027407045966,-0.008476952889720446,-0.0706286777148893,0.07272642462366491,0.10861564489671854,0.019574872759893808,0.15133858126456395,-0.027815701161579554,0.0010145638837057852,-0.005915473536147783,0.03478990622884026,0.10511955305790861,-0.11155968427081128,-0.040503723760607076,0.0007281093052409482,-0.12722021428716462,-0.05590526781152025,0.11715763347643517,-0.014997943459766638,-0.11070192497355792,-0.0604043109206005,0.09990933029354435,0.1200114193984895,0.092107272714712,0.054714811892860094,-0.05756274659925281,-0.0073270502138967145,-0.01659291860363446,-0.02526381281661827,-0.027720875812881497,-0.028503117473660147,-0.07979694681494826,0.056263377310689984,0.060343231356935326,0.05504292322270241,0.09422425966469147,-0.0902208627705287,0.09049430496538777,-0.04360780003368822,-0.06553577834328565
HallKierAlpha,-0.05497990720226321,-0.2295757231383711,0.08490876977550812,0.09706895979473726,-0.0727226955400464,0.03988344973119018,0.11738961701318104,0.02258529276539084,-0.08177084557238314,0.014912723755515889,-0.026236993975505433,-0.06361442424170023,-0.07525407842086539,0.008914704432002249,0.01714898741009499,0.037854794155923285,-0.03225209680912197,0.01706289988338282,-0.030197648001030905,0.05160970598363865,-0.012358338695336285,0.0337298275851414,0.03452783967830647,-0.015722996248350996,0.011684345972314727,0.008642617702497885,0.04186322303165084,-0.027299353361308364,-0.008851284709127917,-0.01783579563394757,0.019582405019518745,-0.009480302053089237,-0.044601211017595344,-0.02366224656635249,-0.020634866022009254,0.012714890094704534,-0.015773931424237025,-0.04293592027105425,-0.043038794318615625,0.047373807271276,-0.0058649184091751905,-0.0036699226258122128,-0.020062262758660812,-0.0468053557705206,-0.04637132402713773
Ipc,0.07152599002505129,-0.0008784496985649797,0.026583561207824912,0.010085266871973073,-0.06897848116865968,-0.042249890417932034,0.044637494750915274,-0.08928085421547564,-0.03754621696366184,-0.06536429622716482,-0.043132611646098884,0.05721845328161207,-0.04409622800194257,0.015178585889269246,-0.04793749940010144,0.03726590250063273,0.03465380540031243,-0.14865262417384573,0.07000995803684659,-0.06511621130180496,0.14823628965069702,0.0863956887601309,-0.02763940760845901,0.04679401025004021,-0.02083960634173298,0.09885138547146387,-0.1491365354398671,-0.07798915646569414,0.0406568360711199,-0.17506457837704134,-0.1626265674667961,0.4285712156304935,-0.13868149792808493,0.017231160313392793,-0.008675730211858468,-0.1490235099519709,-0.15214452626853522,-0.1286588237106357,0.3907945826727461,-0.01601859669899667,0.13849168245377275,-0.2381050813242026,-0.2669624980003632,-0.14806407783986145,0.1056167565059232
Kappa1,0.1288654799615286,0.15888225494128755,0.020743858994900565,0.13866069766374012,-0.0564169651577467,0.025854780341099393,-0.03070453565358805,0.04108463843454174,-0.038206915872888186,0.050823900737264005,-0.042302285741140255,0.03705516981178204,0.0327532804595807,-0.013089484903070353,0.00220208740463064,0.005864126494048813,-0.03105616928073429,-0.004072131016449321,-0.014653990026454553,-0.009172912503392916,-0.028025881648633975,0.025328376097193073,-0.013135303387975458,-0.032422617018341315,-0.022394687469986664,0.0008090573970734871,0.022335833448511727,0.01747258517066655,0.007524709996050691,0.00550475229135175,0.028283967981721697,-0.007671553115103088,0.010598684008463952,-0.010591092061578211,-0.03208822257531126,-0.040505599625256114,-0.0011303364680865513,-0.04750991409344819,-0.0070184132462412785,0.027590096786372934,0.0015579779160294072,-0.0588717428856759,0.0017053465003652596,-0.03577036226193708,-0.02732239144994207
Kappa2,0.1616684566180204,-0.00667177323347545,0.0021156841245104975,0.08273339988601003,-0.021184361534431786,-0.005322125088542268,-0.010141001380545758,-0.07693667850531427,0.10431551514060784,0.008196527564670708,-0.014364834916415728,0.08118736018903402,-0.014224530934229263,0.004615422955430812,-0.040001832138756147,0.05377713992591475,0.06009668159347625,-0.008032148228324154,0.016861470093442858,-0.08337188013031474,-0.05788044171259696,0.028811139025821525,0.03899223116437714,-0.02890647774889815,-0.028477005231477698,0.022446577963873428,0.008171179968690358,0.03911803593713659,0.0539020924943131,0.0013158610219472788,-0.006836632443656343,0.02014507644173752,-0.031251936736911096,-0.04888486762165592,-0.009929878285849084,-0.01888962784026528,0.01094068049320649,-0.025089637427901143,-0.0037885824717125358,0.04567000787171239,-0.0007792363902707385,0.004256210770860622,0.046554886479530336,0.04269340884909678,0.012930459605737563
Kappa3,0.12319970008298416,-0.0763208451390982,0.02470353097610482,0.1071027925449123,0.009348874775751283,-0.02497812345541971,-0.024186492827091788,-0.08822894580534613,0.12941189434337724,0.025828681087870127,-0.015166986898961066,0.12923290569265575,-0.01851678323013317,-0.007125684330591492,-0.06269689520046379,0.07004265888082789,0.12659484268966287,-0.01765515065382714,0.0401343425773398,-0.1232746912913819,-0.09406956071764505,0.029382389166323686,0.06256722072788322,-0.07081890070358379,-0.06213123777782598,0.06298623202007457,-0.012989524804591493,0.09659169914610918,0.11084051315259741,0.04744570282218135,-0.06109079751370844,0.05852474017678608,0.008004716485910973,-0.03689878893365753,-0.034784185696164475,-0.039792069402277815,0.04651035525324468,-0.015908167890729373,-0.03416494481791063,0.1048621141449177,0.005662691697160055,-0.02521928348299329,0.0875308499358324,0.09160659816024684,0.029827453404593682
PEOE_VSA1,0.15610528473633095,0.029444893540635772,0.07048128551334816,0.04391561817402139,0.00796124906799156,-0.11730557458289721,0.03455352172506144,-0.05143462105749602,-0.01483113370106473,-0.022516974808735435,-0.030674866451514016,-0.08590260820672424,-0.018217031196447686,-0.04716933513781359,0.06984800480977776,0.009678930138283654,-0.02747214804260975,0.036036426551919847,-0.05891486973284054,-0.03297499513740906,0.041307786936460415,-0.02775100204936115,0.0022765452638958475,0.02897739136855762,0.02017358835471939,0.036473900963732334,-0.09885520730699608,-0.0399463361037688,-0.008523635465224916,0.04657172758564446,-0.034510262736934,0.010568861435831429,-0.018864808571369615,-0.002875738191665339,0.034059279367393905,0.029498647825382914,0.020880682914243387,-0.026289606276108365,-0.02357193038251934,-0.053091788276019354,0.018907469837153267,0.003124888111010235,0.0019043486129810341,0.025184986814234173,0.008409811937679042
PEOE_VSA10,0.11868815777337073,0.08428993503641018,0.04769799600628029,0.03764787274578551,-0.017191361355138744,-0.0716447730223698,0.03901696707852317,-0.017712530425250117,-0.011721370269872994,0.017068807631457905,-0.08923365797601099,-0.11925931483812055,0.04596276268248503,-0.1978947350755189,-0.032232338491193696,0.04923781542894977,-0.07293910060980066,0.03431663023996406,-0.06400262337383146,-0.0525109083800252,0.11289486304685761,0.09000216562004695,-0.06304023038632767,-0.018392870793014715,-0.06501749910308205,0.025773745579996163,-0.051839391088177075,0.05689929408858946,-0.10822482185980214,-0.06182017823433298,0.035211974748920655,0.07553196872472481,0.04303349268115565,0.011220007356969312,0.10125104622810123,-0.07170584589441789,-0.033473138118027546,-0.007431484610656236,0.016192265552920984,0.158603726576765,0.03167380916213133,0.09068204800482668,0.10379743633071738,-0.043183518756334846,-0.14260705402908214
