,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68
nHetero,0.06229661090855539,0.044738923340853456,0.07764392609180011,-0.008365097640034944,0.01036552810155866,-0.008896349306780687,0.0038149497905517094,0.02896928024986871,0.0026410574562082865,-0.022814766607180056,0.02035459858579739,-0.0038760108757464637,0.01564355430385447,0.040938931878153034,-0.023418729399136938,-0.017976868554023563,-0.013466440713106495,0.0018033769150845914,-0.012054221421711857,-0.00733639511148202,0.005239108506149409,-0.0007231188590568018,0.0189716646593166,0.00841097639883485,-0.0033607212520270135,-0.012420348405958433,-0.00272922182630317,0.023245464116553028,0.008043657998561245,-0.03082024835639577,-0.011773794424882297,-0.0012018204490358432,0.021258528175941527,-0.010407137253296894,0.002077179329716668,-0.0037857718104383157,0.013689134744075768,-0.012374079513787025,0.011232099816843059,0.029608516114900056,-0.005362049559694826,-0.0073953248019941135,0.011324438781642531,0.0006712116311514035,-0.011524023870011613,-0.0040978642983283044,0.008395546988289346,-0.008538975221840203,-0.0027039283277025743,0.024745976207476452,0.008353588690935995,0.004677800219932472,-0.0024515510715754107,0.007694827439309497,-0.002602414218025017,-0.010250254682131053,-0.020879994598507482,0.004799050270261149,-0.014845198446335719,-0.005794676468386902,0.005812984787233453,-0.0035140196065294297,0.004118483406928915,0.017209583766408076,0.005047585023163841,0.01258335442811678,0.01882233855507382,-0.024085136151232867
nN,-0.013655359633044636,0.01739758550781916,0.05150054786592677,-0.0899362149597617,-0.024673152316342265,-0.007564479373905093,-0.0341332962988998,0.05918350688258297,-0.03236904106477638,0.003607635884292699,0.06731848843563501,-0.05107614847201055,0.007064731085348963,0.05695754103249214,-0.03376986111444026,-0.019383214854476145,0.03459969355946672,0.01939081666887387,0.03399782878444445,-0.01671577930255846,0.04766369497576045,-0.003754323239972384,0.011601388969705796,0.0035714059584118986,0.04820032667748754,-0.01064081083705383,0.014074221004337212,0.046861245999098584,0.008689148260791677,-0.05639139933428083,-0.0057871790305357345,-0.03362710652241514,0.008291250068574528,-0.0315143090894382,0.0029190473483865606,-0.02654095135925206,0.032135551534479216,-0.00018704200557609043,0.05709409463044153,0.07182991882592411,-0.05643742451544095,0.011001657523125057,0.013392562363070334,0.03768930442357763,0.02897605553672657,0.002097789714263864,0.00981725902906249,0.005933031741152722,-0.030260209768536217,0.02753913797007069,0.012195671958246551,0.00908210830121674,0.02265805768277861,0.0052681374747591365,-0.014540655984236891,-0.008772120134786586,-0.05176280113146651,-0.014238770911374274,0.010681426540125017,-0.002361756978326789,0.006697811565079653,-0.0413090362085073,0.002512720988990507,0.040102994848076653,-0.025923458825147842,0.026920535184533686,0.03908798763393708,-0.004435326121941856
nO,0.07818147094511865,0.01706385141096864,0.03931391008582227,0.02754321418597673,-0.006024752025692479,-0.001005379136931779,0.053263087049594246,-0.021150908025353247,0.006179818892219173,-0.040562409249653736,-0.0011147265863423095,-0.0005657931421264068,0.017759599603861267,0.0006015106831165016,0.001101114344548664,0.009008877101461388,-0.029254400379191376,-0.02122399760202273,-0.02258262505924454,0.008294719364185845,-0.024336814390708512,-0.00024225758792499182,0.012885186184611085,-0.00885246807296608,-0.02717325535111318,-0.0015661900936397093,-0.015893888640840678,-0.0036638956772311088,0.01566383515632484,0.013982440767979928,-0.016375894322984613,0.025884087453151322,0.006238977508328756,0.004609594963620293,0.0037839427172897885,0.01157100195308738,0.0034164021840989785,0.00444037755889614,-0.01370423558021132,-0.009223194911013909,0.019821696753527032,-0.0157347002086923,0.0034759397281175783,-0.016642249409649982,-0.017141376481581913,0.0030436469037696963,0.005646008355487294,-0.007915082532315038,0.007299537357763791,-0.002503804918246654,0.010358529581674101,-0.012276011131230906,-0.00622890496401622,-0.003249545975786797,0.016005996550428555,-0.011150589015721468,0.018063536167656796,0.02185819580058043,0.004588787912163336,0.0012789465785136465,0.011976033188549772,0.022510401549959473,0.005486939332813805,-0.00836749530495376,0.014936583278000612,0.021740527167571428,-0.003249053492519861,-0.021765249835736317
nS,-0.011298808880044605,0.028493729435078594,0.0232517387652999,0.04772820563118442,0.030678156883304476,-0.0017931938110152647,-0.05707088809182893,0.03738974588275566,0.05294262524318344,-0.0545724001026452,-0.004881297512207281,-0.050213437979616186,0.10224169839139323,0.07118459656185895,0.020930664242154597,-0.032926332316720035,-0.031998782621360584,-0.04352749759784046,0.012872631480032473,0.007708498102595227,0.03333558358009248,0.03128600589018779,0.09029082327114826,0.07718647292709238,0.015071386228203037,-0.0010140589775215942,0.04772622465946358,0.0007178800210877731,-0.002626724789551973,-0.031009414422962463,0.05962693332886603,-0.01674068610665795,0.0025675928572323915,-0.0320689059102068,-0.03498847274818237,0.05621937945519459,0.06547844638936402,-0.049669228342059835,0.07060751494012493,0.019276693379324913,0.017260963632510125,0.03285062466838942,-0.02323012269152164,-0.05277905446271203,-0.002774401706728344,0.03699632805273414,-0.04666352072042235,-0.00606006733731477,0.026855569043741832,0.011527877988638847,-0.023157848735144686,-0.011637492968272834,-0.005793053363555702,0.010428854938324877,0.005370900493542296,0.030460281062417178,0.012156178758087102,-0.0025642617364862296,-0.034334563893465134,-0.08374948981989246,0.012064295575814026,-0.03257469464849688,0.014734443189783545,0.04743760420335521,0.027812937694318515,-0.038626902168154204,0.022534649976489466,-0.01228996184171425
nP,-0.012657782477707779,-0.0011109711026888224,0.04579388124276074,0.06797092757061322,0.03959414983701162,-0.03784319272987532,-0.010379628640715517,0.010558847304079562,0.024865691126869673,-0.0686516144244689,-0.05696539782566628,0.01947852522746404,0.042842347188990104,-0.019616849152265147,0.020058247597839685,-0.08994207385314291,0.052632918921343926,0.048910489330416126,-0.0198139824899071,0.013223639686357848,-0.05916700616255955,0.02532557302734656,0.006486775759394544,0.01740221546098125,0.023388386770792777,0.061628719021360905,-0.0924708791092587,0.04472926710509957,0.022718843710768148,0.007254579596908923,0.0005213016321586526,-0.0021229942865872856,0.008744316448109718,-0.03290805324957543,-0.033748663127460984,-0.00945016631007931,-0.0018455446952593908,-0.0646988147512082,-0.03540837435734645,0.02564416565537039,-0.06270658644739346,-0.010175877530205183,0.07406858564930408,0.03233863787437648,-0.03936143481745007,-0.037594012580767854,0.06353877670029211,0.05644522972024002,-0.01168356259833015,0.014414396281639461,0.022947928193871765,0.0367826899697496,-0.034903116025635915,0.019811543887244883,-0.005478122592657231,0.022370044205531306,-0.011663643502097677,-0.0019313370984359814,-0.037006621515391615,0.015401458823134364,-0.01540083986164042,0.0334177310916175,-0.0060174677432731204,-0.021045580201777297,0.022232328168497437,-0.004585731943581538,-0.027378999145446836,-0.03813725061915904
nF,0.006634880332390415,0.05403544296644149,0.01728286330322407,0.004500798037257751,0.018227799238638914,0.020966733911743578,-0.08319998911351488,-0.04232200759054344,-0.014292463776507613,0.10475800444180414,-0.010520074563904379,0.09067433740585887,-0.0015018737557718057,-0.015597796751701469,-0.051810516956489056,0.00569816937140789,0.043854878354954316,-0.015246000549071183,-0.024309697945123276,0.01615595597841893,0.02474069475369366,-0.030001634716348334,0.020887418306330646,0.04953073625628889,0.04093464101164299,0.03691355267715752,0.01621817877188851,-0.005806301286641701,-0.07127803090486419,-0.050255765579472006,0.04065693879295171,-0.029622209741858176,0.03921744257967321,0.02363851327016845,-0.01731239634697214,0.0013269919544467944,-0.04916801245299024,-0.03158265062316145,-0.030451325256733434,-0.0330149590609855,0.021325913312469153,0.016522110372233265,-0.02711610957602027,-0.021108140604665548,-0.006198159474209031,-0.01188882553521416,0.0019652347950758226,0.00035831559729228155,-0.022275675525921898,0.023773215316844353,-0.021116838243596614,0.058584067415308534,-0.02264314448235811,0.0369082864712334,-0.018388332381191995,0.020597194180672806,-0.009523596641398025,-0.025008120626740404,-0.011363280373445086,-0.04023472439745377,-0.011620692986742405,-0.015229129850722044,-0.03467939705461751,-0.01300481124336218,-0.0022904241446252156,-0.00890909736147413,0.006972809956110819,0.013393443554873959
nCl,-0.01216446485184262,0.017471513332376426,0.019482479698755606,-0.001720879833308116,0.05679714613767334,-0.014207717095124263,-0.040167985183619116,0.06362626600286232,0.0011988620139530633,0.008456102681900586,-0.024687038632599162,0.07724428962850859,-0.08922206036179423,0.017662827284685816,-0.007803132867237259,-0.04639699271925811,-0.0613835865725543,0.09541592033406551,-0.03790747365707863,-0.06131516719659512,-0.012686099831310268,0.008003287628588356,-0.09548194521004973,-0.02618212233403497,-0.06090437994680989,-0.08939473795948981,-0.004163235870174392,0.009349156332239348,-0.00939435429275331,-6.661196754726334e-05,-0.04858733193971137,-0.019963455899803223,0.018623108429025412,-0.00849409337188196,0.04662886337654962,-0.039255672273126326,-0.0383577526459656,0.00476969039975809,-0.05960135292167785,0.016785173640578268,0.0006110647172824686,-0.01866261809466733,0.03488734427923749,0.019232386604226916,-0.030725798611458306,-0.03738772227773566,-0.014097328551340414,-0.0384005408044447,0.032382301576132706,0.023061948317676235,-0.020342501305896148,-0.0030193790683157385,-0.013805691850648996,-0.006719998433432981,-0.040354160180950845,-0.0016711854729135774,-0.0643567512525981,-0.024820318698100537,-0.09414354901668073,0.08416538269412756,-0.04970691797363109,0.010995559752105708,0.029433121778695094,0.020051739552646584,0.0009501617223078943,-0.05585094020276755,-0.00827553632229945,-0.0017276904179643312
nBr,-0.0007391227619865689,0.006784091147428777,-0.007540634482433823,0.0025460329653219068,0.016415130349080792,-0.001545529597412823,-0.025857070689623406,0.05893434333743051,0.0017628202204683495,0.010127713141389636,-0.00935426513471603,-0.003490185994551841,-0.07534086095539004,0.049901881621409835,-0.018466423673631615,-0.0143395495945143,-0.039900762525559914,0.01944483597697406,-0.02940547285359824,-0.07043073398748376,-0.03353908022807084,0.004021554600727303,-0.023422286930586265,-0.054854313195274805,-0.01083025893737595,0.02982049721498147,-0.019030124633600844,-0.013166342019717706,0.017163167916202413,-0.011955258556887104,0.00013486943182916525,0.14662754425896046,-0.004806928866869547,0.1257328304126002,-0.04623150013262196,-0.0351053853739846,-0.003693264255540074,0.022223868455909353,0.0875886222177118,-0.03429107490071609,-0.026758679948400727,-0.03994802514674971,-0.07634832192716846,0.0986445300247932,0.04918057245409832,-0.0794777128085001,0.04373508638556247,0.011630774959034983,-0.016143227658357857,0.027266788646534253,0.18380358222942222,0.043620507866245266,0.021863458247364142,-0.021092201573933933,0.060120968823398215,-0.16993448821518123,-0.0007167407231329016,0.020109507133006573,0.12898471671038053,-0.14806123912292526,0.08521503032709131,-0.04333799213522349,-0.10632251198092557,-0.06300310113229077,0.0057734997284071415,-0.13296143724842005,0.11133425600960978,-0.011766876760730235
nI,0.006749708573480079,0.019509488182849664,0.013288526861776683,-0.014744900923497103,0.07020067843587563,-0.03187518393005596,0.09252194248944678,0.05578475892845859,0.07411683548504168,0.07474706092076283,-0.014897409307154835,-0.04424647657137707,-0.038654802216446654,-0.027146024318443235,-0.0037732245784084257,0.055807780150907406,0.06631429337473886,-0.030619788131382206,0.06006147659993944,0.05225471170089294,0.012735593018266203,-0.02505169668733506,0.03858119843515769,-0.014855702824435523,-0.010353730847089588,0.03154222832984783,0.015261436529033633,-0.00850236387785071,0.03729585983730274,-0.01050637177549816,-0.010729524478261157,-0.002024216434099905,-0.01108698632937357,0.033042361843099666,-0.00399717269922797,-0.010313319791007742,0.007666039622717598,0.0005883308344945543,0.011036439737724507,0.004949144275700398,0.03767127013944686,-0.014884977649292822,0.00768893390849488,0.008327790770149926,-0.017738774246386285,0.010406447786680342,0.048096817940478896,0.016143534571741808,-0.0033755308282725745,0.0010962466130919814,-0.03640794450743205,-0.004070060726669225,0.019508932158167205,0.005410758352813412,-0.008185482953004529,-0.00015099815995182135,0.04025281882162003,0.021248008372385975,0.02384132806381462,0.02073353005370906,0.003337161562172825,0.025401852131238977,-0.01395676968791918,-0.02910551848684691,-0.024304914427910537,0.04494997077439838,-0.04516937118628352,0.016600671233647526
nX,-0.0029942712411473397,0.04904354415717213,0.025854227255473147,-0.0015978245030946474,0.0673510670675083,-0.004737096887631084,-0.058503012376253986,0.03729667381334685,0.009300562287170203,0.08563799892542624,-0.027505369326793105,0.09636381276595309,-0.07858570972723532,0.0018323092623098928,-0.038703145729909696,-0.017379725011912713,-0.005341692274731688,0.05165471666838943,-0.02983563998703939,-0.02792271016014923,0.00538960816587295,-0.017481090295203883,-0.04696872863812774,0.00237410585731319,-0.021125473425515476,-0.029527403502022872,0.00824920093525428,-0.0002516360701480253,-0.03842823014909541,-0.03332767358041414,-0.01179698356609147,-0.01689495941079339,0.03299550285963425,0.028284070504888893,0.016267265669560577,-0.03208630880143451,-0.054079310549492825,-0.013009393504711355,-0.04765313051736827,-0.010311178953673998,0.01883434364006279,-0.010464999348349244,0.0019987686593739475,0.012589136413394776,-0.023838269362584683,-0.03840953847910415,0.006746826401865231,-0.021376354876620415,0.0067133106658806155,0.03291025313686659,-0.016145058990957573,0.03603011120348604,-0.016262630976598372,0.016285179279082688,-0.03440193519990284,-0.00616149740407187,-0.04086679369570611,-0.025019577187437744,-0.05305670070598836,0.02384494603356232,-0.03169840844903526,-7.355439013639153e-05,-0.01413785540382596,-0.0068302713634502184,-0.005608667297203939,-0.04693988214912883,-0.0005386637131910237,0.00929039948861983
