Dataset,Model,CV_R2,Test_R2
descriptors_MACCS_RF,Lasso,0.16591842441535273,-0.0776376270769008
descriptors_MACCS_RF,RandomForest,0.4735114815683166,0.29935923512703777
descriptors_MACCS_RF,GradientBoosting,0.49311083315697307,0.42915555837394226
descriptors_MACCS_RF,ExtraTrees,0.14352922998198375,-0.09222336155794175
descriptors_MACCS_RF,XGBoost,0.3657999009825258,0.2066293590290419
descriptors_MACCS_RF,LightGBM,0.4612198256951016,0.4251131581810922
descriptors_MACCS_RF,SVR,0.33398888081065914,0.22240594474233688
descriptors_MACCS_RF,KNN,0.403102246961652,-0.04578084035690533
descriptors_MQN_RF,Ridge,0.4441564836864134,0.41801880892319454
descriptors_MQN_RF,Lasso,0.20381378260922595,-0.12411141906285073
descriptors_MQN_RF,RandomForest,0.4889648403723408,-0.24619401322864998
descriptors_MQN_RF,GradientBoosting,0.4734584114271799,-0.33611586491539813
descriptors_MQN_RF,ExtraTrees,0.49118272673058544,-0.21226909159180707
descriptors_MQN_RF,XGBoost,0.4527636124874075,-0.1173279354150556
descriptors_MQN_RF,LightGBM,0.35567034785434687,-0.07880445004806647
descriptors_MQN_RF,SVR,0.3064183435372244,0.06684479617262573
descriptors_MQN_RF,KNN,0.32734602939583446,-0.37670419484458684
two_and_three_d_RF,Ridge,0.6458323014070421,-1.118834827705924
two_and_three_d_RF,Lasso,0.5499606501772129,0.3823971868539452
two_and_three_d_RF,RandomForest,0.7448723301086102,0.5694184705128176
two_and_three_d_RF,GradientBoosting,0.7872583905926909,0.5774198273330342
two_and_three_d_RF,ExtraTrees,0.7900108079479391,0.5663218453069232
two_and_three_d_RF,XGBoost,0.7789586832631257,0.49534217666084823
two_and_three_d_RF,LightGBM,0.7409223060562079,0.5717858801059065
two_and_three_d_RF,SVR,0.4099185420094164,0.33478788832474726
two_and_three_d_RF,KNN,0.5264698539165076,-0.13635382307986998
all_descriptors_RF,Ridge,0.7534543890667891,-0.8929080014981134
all_descriptors_RF,Lasso,0.5655448680489249,0.36005060843453196
all_descriptors_RF,RandomForest,0.7485612291121074,0.5922674853028472
all_descriptors_RF,GradientBoosting,0.7903458075072056,0.51473709300075
all_descriptors_RF,ExtraTrees,0.802497209395501,0.5407411293003642
all_descriptors_RF,XGBoost,0.7592808557738178,0.5661841983954929
all_descriptors_RF,LightGBM,0.7423765272734297,0.5467990514928907
all_descriptors_RF,SVR,0.4125024449589092,0.31330635463814727
all_descriptors_RF,KNN,0.504341133099412,-0.297606021733706
descriptors_2D_Boruta,Ridge,0.615089244701503,0.400795621628647
descriptors_2D_Boruta,Lasso,0.5530120109052573,0.3973275530903233
descriptors_2D_Boruta,RandomForest,0.7256307343839185,0.5106276291431942
descriptors_2D_Boruta,GradientBoosting,0.7373111753662518,0.5419113640789319
descriptors_2D_Boruta,ExtraTrees,0.7487769334052763,0.5764563539222585
descriptors_2D_Boruta,XGBoost,0.6793525437719443,0.43452630522482216
descriptors_2D_Boruta,LightGBM,0.7256332561969119,0.5190470827690106
descriptors_2D_Boruta,SVR,0.4557546466427402,0.2631740559506781
descriptors_2D_Boruta,KNN,0.4985915637910807,0.41503421177291355
descriptors_ECFP_Boruta,Ridge,0.51983751250345,0.11775378591075547
descriptors_ECFP_Boruta,Lasso,0.17676705831647982,-0.034454078226966
descriptors_ECFP_Boruta,RandomForest,0.5063705545240781,0.159784696950373
descriptors_ECFP_Boruta,GradientBoosting,0.5083087019789176,0.22495169512606206
descriptors_ECFP_Boruta,ExtraTrees,0.23842310231320313,0.08455981518441946
descriptors_ECFP_Boruta,XGBoost,0.3372732306505422,0.05944696438801722
descriptors_ECFP_Boruta,LightGBM,0.4183735623676782,0.1400609539444979
descriptors_ECFP_Boruta,SVR,0.5180515449163974,0.2811608930519026
descriptors_ECFP_Boruta,KNN,0.4948155006876832,0.18625062688749927
descriptors_MACCS_Boruta,Ridge,0.4912815281701396,-0.2503935652745022
descriptors_MACCS_Boruta,Lasso,0.17105916577461322,-0.07763781776142964
descriptors_MACCS_Boruta,RandomForest,0.4856467175808616,0.17176493449333174
descriptors_MACCS_Boruta,GradientBoosting,0.3982796184456054,-0.12011526473986334
descriptors_MACCS_Boruta,ExtraTrees,0.1897295073732324,-0.06358246034521176
descriptors_MACCS_Boruta,XGBoost,0.4026286635859783,0.04644163379212196
descriptors_MACCS_Boruta,LightGBM,0.3840666889651217,0.0966858929821871
descriptors_MACCS_Boruta,SVR,0.4221811051011123,0.15711494570543905
descriptors_MACCS_Boruta,KNN,0.37291196274427085,0.09918668650259976
descriptors_MQN_Boruta,Ridge,0.44490435577548926,0.3988494269464269
descriptors_MQN_Boruta,Lasso,0.1925140738471119,-0.11475302521564879
descriptors_MQN_Boruta,RandomForest,0.49154285072806553,-0.3099571705898221
descriptors_MQN_Boruta,GradientBoosting,0.48866262632201085,-0.6416673267229518
descriptors_MQN_Boruta,ExtraTrees,0.48873062502056597,-0.15175587921413292
descriptors_MQN_Boruta,XGBoost,0.4623013192797291,-0.7800195562073247
